ID,成品面料内部编号,基础面料编号,颜色内部编号,修图参考图链接地址,html????
6029,08JMLS_WT,08JMLS,WT,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240131143515.jpg,#f0eff4
8503,100DMG_WT,100DMG,WT,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240307103235.png,#dbe1ef
6588,100GPB_BK,100GPB,BK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240221152554.jpg,#232323
6588,100GPB_BK,100GPB,BK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240221152554.jpg,#232323
6588,100GPB_BK,100GPB,BK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240221152554.jpg,#232323
6984,100GPB_WT,100GPB,WT,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240228160509.jpg,#EBEBEB
6984,100GPB_WT,100GPB,WT,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240228160509.jpg,#EBEBEB
10624,11506L_ALGA,11506L,ALGA,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20250721095044.jpg,#B9B9B9
10632,11506L_BCP,11506L,BCP,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20250827160303.jpg,#EBB99B
10619,11506L_BK,11506L,BK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20250825174715.jpg,#232323
10623,11506L_DGB,11506L,DGB,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20250711145919.jpg,#557391
10622,11506L_GD,11506L,GD,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20250711143914.jpg,#E1C3A5
10635,11506L_HVT,11506L,HVT,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20250711140502.jpg,#552D4B
10620,11506L_IBL,11506L,IBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20250711135631.jpg,#192341
6842,11506_AVT,11506,AVT,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20230508161229.jpg,#2D1937
6842,11506_AVT,11506,AVT,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20230508161229.jpg,#2D1937
4591,11506_BK,11506,BK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20220325151800.jpg,#232323
4591,11506_BK,11506,BK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20220325151800.jpg,#232323
5788,11506_CRPK,11506,CRPK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20241230162536.jpg,#D79B87
5788,11506_CRPK,11506,CRPK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20241230162536.jpg,#D79B87
5788,11506_CRPK,11506,CRPK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20241230162536.jpg,#D79B87
10072,11506_DCP,11506,DCP,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20260116141412.jpg,#E1C3AF
9447,11506_DGB,11506,DGB,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20241218113258.jpg,#4B6987
6136,11506_DGN,11506,DGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/liyimin--fabric-pefer-pic20231116113624.jpg,#19372D
8267,11506_HBL,11506,HBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20250513103613.jpg,#5F7387
8267,11506_HBL,11506,HBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20250513103613.jpg,#5F7387
8267,11506_HBL,11506,HBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20250513103613.jpg,#5F7387
5245,11506_IBL,11506,IBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20241016174958.jpg,#0F192D
5245,11506_IBL,11506,IBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20241016174958.jpg,#0F192D
5152,11506_JRD,11506,JRD,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240229160647.jpg,#550F23
5152,11506_JRD,11506,JRD,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240229160647.jpg,#550F23
5249,11506_LRBL,11506,LRBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20230627114416.jpg,#192D7D
5249,11506_LRBL,11506,LRBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20230627114416.jpg,#192D7D
5153,11506_NBL,11506,NBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01-specFinishFabricImg-20220114114305.png,#192337
5549,11506_NGN,11506,NGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240129161639.jpg,#23412D
5154,11506_PK,11506,PK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20240119193706.jpg,#CDAFA5
5154,11506_PK,11506,PK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20240119193706.jpg,#CDAFA5
4639,11506_RD,11506,RD,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/liyimin--fabric-pefer-pic20231116113841.jpg,#690F23
9055,11506_SGN,11506,SGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240827172747.png,#9BAF91
5781,11506_SVT,11506,SVT,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240229161815.png,#372355
5781,11506_SVT,11506,SVT,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240229161815.png,#372355
4457,11506_WT,11506,WT,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20220309163849.jpg,#EBEBEB
5789,11506_ZRD,11506,ZRD,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240129142446.jpg,#871919
5789,11506_ZRD,11506,ZRD,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240129142446.jpg,#871919
9172,230DLM_APK,230DLM,APK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240819103641.jpg,#F5419B
9602,230DLM_BGGN,230DLM,BGGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/wangjiaqi01--fabric-pefer-pic20241129163037.jpg,#69E1EB
10011,230DLM_CAPK,230DLM,CAPK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/common-file/pattern_code/1eebaf85ffabe334bfd24686bd60e627.png,#F54B7D
10207,230DLM_GBG,230DLM,GBG,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/wangjiaqi01--fabric-pefer-pic20250326135335.png,#694123
10207,230DLM_GBG,230DLM,GBG,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/wangjiaqi01--fabric-pefer-pic20250326135335.png,#694123
9603,230DLM_GLGN,230DLM,GLGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/wangjiaqi01--fabric-pefer-pic20241120094519.jpg,#AFE1E1
9816,230DLM_GOR,230DLM,GOR,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/wangjiaqi01--fabric-pefer-pic20241224172518.jpg,#FF692D
11189,230DLM_GYL,230DLM,GYL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/wangjiaqi01--fabric-pefer-pic20260116111031.jpg,#EBF54B
11092,230DLM_LBL,230DLM,LBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/wangjiaqi01--fabric-pefer-pic20251127102701.png,#AFE1F5
9601,230DLM_LLBL,230DLM,LLBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/wangjiaqi01--fabric-pefer-pic20241125140929.jpg,#C3EBE1
9600,230DLM_MGBL,230DLM,MGBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/wangjiaqi01--fabric-pefer-pic20241125140900.jpg,#23A5C3
9599,230DLM_NEPK,230DLM,NEPK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/wangjiaqi01--fabric-pefer-pic20241125140911.jpg,#FF91C3
9165,230DLM_RPK,230DLM,RPK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20250108140938.png,#FF0F87
9039,230DLM_WT,230DLM,WT,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240709102316.jpg,#f8f8f6
9039,230DLM_WT,230DLM,WT,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240709102316.jpg,#f8f8f6
9039,230DLM_WT,230DLM,WT,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240709102316.jpg,#f8f8f6
9039,230DLM_WT,230DLM,WT,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240709102316.jpg,#f8f8f6
9039,230DLM_WT,230DLM,WT,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240709102316.jpg,#f8f8f6
10562,230KT_BGN,230KT,BGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20251125111310.png,#234B5F
10561,230KT_BK,230KT,BK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20260109115120.jpg,#2D2323
11014,230KT_DBRN,230KT,DBRN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20251201134216.png,#553723
11131,230KT_HGBL,230KT,HGBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20260106162326.png,#7391B9
10964,230KT_HPK,230KT,HPK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20260109114950.jpg,#FF3791
10563,230KT_LAGN,230KT,LAGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20251128171243.png,#4B5537
10564,230KT_NBL,230KT,NBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20251128171147.png,#232341
10929,230KT_QSBL,230KT,QSBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/quchang--fabric-pefer-pic20251216113512.jpg,#379BE1
11096,230KT_RBGN,230KT,RBGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/common-file/pattern_code/da8c52b368caa00432bd0d15b98eb46c.jpeg,#5FA59B
10889,230KT_RD,230KT,RD,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20260113102049.jpg,#C31919
